epoch,train_loss,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate_group_0,learning_rate_group_1
01,0.2199,0.8998,0.4031,0.8774,0.8281,1.00e-05,1.00e-04
02,0.1565,0.9287,0.4070,0.8811,0.8366,1.00e-05,1.00e-04
03,0.1151,0.9488,0.4405,0.8842,0.8389,1.00e-05,1.00e-04
04,0.0878,0.9600,0.4526,0.8768,0.8342,1.00e-05,1.00e-04
05,0.0681,0.9724,0.5100,0.8716,0.8291,1.00e-05,1.00e-04
06,0.0546,0.9774,0.5433,0.8742,0.8314,5.00e-06,5.00e-05
07,0.0464,0.9792,0.5344,0.8805,0.8345,5.00e-06,5.00e-05
08,0.0382,0.9850,0.5684,0.8737,0.8268,5.00e-06,5.00e-05
09,0.0337,0.9859,0.5657,0.8821,0.8363,2.50e-06,2.50e-05
10,0.0332,0.9868,0.5944,0.8790,0.8339,2.50e-06,2.50e-05
