epoch,train_loss,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate_group_0,learning_rate_group_1
01,0.1294,0.9491,0.3802,0.8953,0.8665,1e-05,0.0001
02,0.0515,0.9804,0.3999,0.8922,0.8618,1e-05,0.0001
03,0.0328,0.9890,0.3925,0.9107,0.8842,1e-05,0.0001
04,0.0201,0.9932,0.4120,0.9049,0.8776,1e-05,0.0001
05,0.0155,0.9948,0.4246,0.9138,0.8876,1e-05,0.0001
06,0.0086,0.9976,0.3871,0.9123,0.8876,1e-05,0.0001
07,0.0096,0.9970,0.4258,0.9154,0.8937,1e-05,0.0001
08,0.0062,0.9980,0.4755,0.9138,0.8888,1e-05,0.0001
09,0.0057,0.9977,0.4487,0.9154,0.8911,1e-05,0.0001
10,0.0053,0.9987,0.4947,0.9128,0.8887,5e-06,5e-05
11,0.0024,0.9997,0.4567,0.9128,0.8879,5e-06,5e-05
12,0.0022,0.9998,0.4857,0.9149,0.8907,5e-06,5e-05
13,0.0029,0.9993,0.4601,0.9149,0.8866,2.5e-06,2.5e-05
14,0.0016,0.9998,0.4851,0.9096,0.8815,2.5e-06,2.5e-05
